area,time_period,num_emigrates
Italy,2014,45074
Italy,2015,51048
Italy,2016,60788
Italy,2017,61553
Italy,2018,63570
Italy,2019,68063
Italy,2020,64845
Italy,2021,50697
Italy,2022,55521
Nord-ovest,2014,13043
Nord-ovest,2015,14567
Nord-ovest,2016,16597
Nord-ovest,2017,16818
Nord-ovest,2018,17253
Nord-ovest,2019,16493
Nord-ovest,2020,18236
Nord-ovest,2021,14422
Nord-ovest,2022,15847
Nord-est,2014,8856
Nord-est,2015,10059
Nord-est,2016,11901
Nord-est,2017,12181
Nord-est,2018,12863
Nord-est,2019,13502
Nord-est,2020,13350
Nord-est,2021,10703
Nord-est,2022,12202
Centro (I),2014,7712
Centro (I),2015,8730
Centro (I),2016,10825
Centro (I),2017,10457
Centro (I),2018,11054
Centro (I),2019,10350
Centro (I),2020,10168
Centro (I),2021,8184
Centro (I),2022,9033
Mezzogiorno,2014,15463
Mezzogiorno,2015,17692
Mezzogiorno,2016,21465
Mezzogiorno,2017,22097
Mezzogiorno,2018,22400
Mezzogiorno,2019,27718
Mezzogiorno,2020,23091
Mezzogiorno,2021,17388
Mezzogiorno,2022,18439
