Area,Time period,Young people still living with their parents (%)
Nord-ovest,2014,60.6
Nord-ovest,2015,58.4
Nord-ovest,2016,59.3
Nord-ovest,2017,57.2
Nord-ovest,2018,57.6
Nord-ovest,2019,58.7
Nord-ovest,2020,57.6
Nord-ovest,2021,63.3
Nord-ovest,2022,63.7
Nord-est,2014,59.5
Nord-est,2015,57.7
Nord-est,2016,61.1
Nord-est,2017,58.5
Nord-est,2018,57.7
Nord-est,2019,60.3
Nord-est,2020,62.0
Nord-est,2021,64.0
Nord-est,2022,65.1
Centro (I),2014,57.7
Centro (I),2015,61.4
Centro (I),2016,62.9
Centro (I),2017,65.0
Centro (I),2018,61.6
Centro (I),2019,66.1
Centro (I),2020,63.4
Centro (I),2021,67.0
Centro (I),2022,67.3
Mezzogiorno,2014,67.4
Mezzogiorno,2015,67.8
Mezzogiorno,2016,67.5
Mezzogiorno,2017,66.8
Mezzogiorno,2018,67.3
Mezzogiorno,2019,69.2
Mezzogiorno,2020,71.7
Mezzogiorno,2021,72.8
Mezzogiorno,2022,71.5
