area,time_period,indices
Nord-ovest,2014,104.3
Nord-ovest,2015,100.0
Nord-ovest,2016,100.2
Nord-ovest,2017,99.5
Nord-ovest,2018,99.4
Nord-ovest,2019,100.4
Nord-ovest,2020,103.4
Nord-ovest,2021,106.0
Nord-ovest,2022,110.6
Nord-est,2014,103.9
Nord-est,2015,100.0
Nord-est,2016,99.1
Nord-est,2017,97.9
Nord-est,2018,98.5
Nord-est,2019,99.3
Nord-est,2020,101.6
Nord-est,2021,104.6
Nord-est,2022,109.5
Centro (I),2014,104.9
Centro (I),2015,100.0
Centro (I),2016,100.6
Centro (I),2017,98.9
Centro (I),2018,97.1
Centro (I),2019,95.2
Centro (I),2020,95.5
Centro (I),2021,98.4
Centro (I),2022,101.4
Mezzogiorno,2014,102.3
Mezzogiorno,2015,100.0
Mezzogiorno,2016,101.0
Mezzogiorno,2017,100.3
Mezzogiorno,2018,99.4
Mezzogiorno,2019,98.6
Mezzogiorno,2020,100.1
Mezzogiorno,2021,101.3
Mezzogiorno,2022,103.9
