Area,Economic activity,Time period,Hourly wage by age (15-29) (€)
Nord-ovest,Mining and quarrying,2014,14.83
Nord-ovest,Mining and quarrying,2015,16.85
Nord-ovest,Mining and quarrying,2016,15.32
Nord-ovest,Mining and quarrying,2017,16.33
Nord-ovest,Mining and quarrying,2018,14.54
Nord-ovest,Mining and quarrying,2019,16.05
Nord-ovest,Mining and quarrying,2020,15.8
Nord-ovest,Mining and quarrying,2021,16.63
Nord-ovest,Manufacturing,2014,10.47
Nord-ovest,Manufacturing,2015,10.65
Nord-ovest,Manufacturing,2016,10.66
Nord-ovest,Manufacturing,2017,10.72
Nord-ovest,Manufacturing,2018,10.82
Nord-ovest,Manufacturing,2019,10.98
Nord-ovest,Manufacturing,2020,11.14
Nord-ovest,Manufacturing,2021,11.3
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2014,13.08
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2015,13.04
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2016,13.38
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2017,13.89
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2018,14.04
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2019,14.13
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2020,14.24
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2021,14.41
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2014,11.5
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2015,11.61
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2016,11.46
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2017,11.19
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2018,11.23
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2019,11.47
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2020,11.41
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2021,11.55
Nord-ovest,Construction,2014,9.76
Nord-ovest,Construction,2015,10.1
Nord-ovest,Construction,2016,9.95
Nord-ovest,Construction,2017,9.91
Nord-ovest,Construction,2018,9.79
Nord-ovest,Construction,2019,9.79
Nord-ovest,Construction,2020,9.96
Nord-ovest,Construction,2021,10.09
Nord-ovest,"Services (g to s, except o)",2014,9.94
Nord-ovest,"Services (g to s, except o)",2015,10.1
Nord-ovest,"Services (g to s, except o)",2016,10.12
Nord-ovest,"Services (g to s, except o)",2017,10.24
Nord-ovest,"Services (g to s, except o)",2018,10.25
Nord-ovest,"Services (g to s, except o)",2019,10.31
Nord-ovest,"Services (g to s, except o)",2020,10.62
Nord-ovest,"Services (g to s, except o)",2021,10.56
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2014,10.5
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2015,10.55
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2016,10.68
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2017,10.84
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2018,10.94
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2019,10.96
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2020,11.08
Nord-ovest,Wholesale and retail trade repair of motor vehicles and motorcycles,2021,10.95
Nord-ovest,Transportation and storage,2014,9.56
Nord-ovest,Transportation and storage,2015,9.69
Nord-ovest,Transportation and storage,2016,9.76
Nord-ovest,Transportation and storage,2017,9.93
Nord-ovest,Transportation and storage,2018,10.07
Nord-ovest,Transportation and storage,2019,10.44
Nord-ovest,Transportation and storage,2020,10.95
Nord-ovest,Transportation and storage,2021,10.88
Nord-ovest,Accommodation and food service activities,2014,9.66
Nord-ovest,Accommodation and food service activities,2015,9.66
Nord-ovest,Accommodation and food service activities,2016,9.61
Nord-ovest,Accommodation and food service activities,2017,9.81
Nord-ovest,Accommodation and food service activities,2018,9.86
Nord-ovest,Accommodation and food service activities,2019,9.92
Nord-ovest,Accommodation and food service activities,2020,10.12
Nord-ovest,Accommodation and food service activities,2021,10.13
