Area,Economic activity,Time period,"Hourly wage no educational degree, primary and lower secondary school certificate (€)",Hourly wage upper and post secondary (€),"Hourly wage tertiary (university, doctoral and specialization courses) (€)"
Italy,TOTAL,2014,10.53,11.41,13.83
Italy,TOTAL,2015,10.7,11.53,13.77
Italy,TOTAL,2016,10.69,11.53,13.8
Italy,TOTAL,2017,10.73,11.54,13.85
Italy,TOTAL,2018,10.74,11.56,13.86
Italy,TOTAL,2019,10.85,11.69,14.11
Italy,TOTAL,2020,11.11,11.95,14.57
Italy,TOTAL,2021,11.12,11.91,14.75
Italy,TOTAL INDUSTRY (b to f),2014,11.38,12.69,16.73
Italy,TOTAL INDUSTRY (b to f),2015,11.65,12.88,16.68
Italy,TOTAL INDUSTRY (b to f),2016,11.63,12.92,16.76
Italy,TOTAL INDUSTRY (b to f),2017,11.68,12.98,16.9
Italy,TOTAL INDUSTRY (b to f),2018,11.7,12.98,16.99
Italy,TOTAL INDUSTRY (b to f),2019,11.83,13.15,17.4
Italy,TOTAL INDUSTRY (b to f),2020,12.03,13.3,17.45
Italy,TOTAL INDUSTRY (b to f),2021,12.11,13.36,17.54
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2014,11.72,13.25,17.4
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2015,11.94,13.42,17.34
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2016,11.94,13.45,17.41
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2017,11.99,13.52,17.54
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2018,12.01,13.52,17.59
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2019,12.19,13.71,18.0
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2020,12.37,13.86,18.06
Italy,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2021,12.5,13.95,18.22
Italy,Mining and quarrying,2014,12.66,19.01,28.82
Italy,Mining and quarrying,2015,12.71,17.96,28.82
Italy,Mining and quarrying,2016,12.89,18.63,28.97
Italy,Mining and quarrying,2017,12.83,18.37,28.26
Italy,Mining and quarrying,2018,13.04,18.82,29.81
Italy,Mining and quarrying,2019,13.58,20.14,30.04
Italy,Mining and quarrying,2020,13.59,18.69,29.99
Italy,Mining and quarrying,2021,13.77,18.23,29.76
Italy,Manufacturing,2014,11.54,13.01,17.03
Italy,Manufacturing,2015,11.77,13.19,17.03
Italy,Manufacturing,2016,11.77,13.22,17.09
Italy,Manufacturing,2017,11.83,13.29,17.23
Italy,Manufacturing,2018,11.87,13.3,17.31
Italy,Manufacturing,2019,12.03,13.49,17.78
Italy,Manufacturing,2020,12.22,13.65,17.83
Italy,Manufacturing,2021,12.36,13.76,18.0
Italy,"Electricity, gas, steam and air conditioning supply",2014,18.16,20.09,22.7
Italy,"Electricity, gas, steam and air conditioning supply",2015,17.99,20.24,22.63
Italy,"Electricity, gas, steam and air conditioning supply",2016,17.33,20.18,22.57
Italy,"Electricity, gas, steam and air conditioning supply",2017,17.88,20.47,23.1
Italy,"Electricity, gas, steam and air conditioning supply",2018,17.73,20.42,22.88
Italy,"Electricity, gas, steam and air conditioning supply",2019,17.7,20.47,22.9
Italy,"Electricity, gas, steam and air conditioning supply",2020,17.77,20.59,22.8
Italy,"Electricity, gas, steam and air conditioning supply",2021,17.81,20.81,22.67
Italy,"Water supply sewerage, waste management and remediation activities",2014,14.28,14.94,16.87
Italy,"Water supply sewerage, waste management and remediation activities",2015,14.37,15.02,16.86
Italy,"Water supply sewerage, waste management and remediation activities",2016,14.26,15.01,17.1
Italy,"Water supply sewerage, waste management and remediation activities",2017,14.13,14.99,17.02
Italy,"Water supply sewerage, waste management and remediation activities",2018,13.95,14.85,16.92
Italy,"Water supply sewerage, waste management and remediation activities",2019,14.23,15.0,17.0
Italy,"Water supply sewerage, waste management and remediation activities",2020,14.21,14.92,16.91
Italy,"Water supply sewerage, waste management and remediation activities",2021,14.22,14.9,17.08
Italy,Construction,2014,10.87,11.05,12.68
Italy,Construction,2015,11.2,11.35,12.81
Italy,Construction,2016,11.16,11.31,12.82
Italy,Construction,2017,11.21,11.36,12.86
Italy,Construction,2018,11.21,11.38,13.04
Italy,Construction,2019,11.28,11.49,13.25
Italy,Construction,2020,11.46,11.63,13.38
Italy,Construction,2021,11.54,11.7,13.37
Italy,"Services (g to s, except o)",2014,10.04,10.95,13.13
Italy,"Services (g to s, except o)",2015,10.16,11.05,13.09
Italy,"Services (g to s, except o)",2016,10.18,11.09,13.13
Italy,"Services (g to s, except o)",2017,10.26,11.12,13.2
Italy,"Services (g to s, except o)",2018,10.28,11.15,13.2
Italy,"Services (g to s, except o)",2019,10.38,11.26,13.42
Italy,"Services (g to s, except o)",2020,10.62,11.52,13.9
Italy,"Services (g to s, except o)",2021,10.61,11.46,14.07
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2014,10.74,11.24,13.35
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2015,10.8,11.27,13.26
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2016,10.9,11.4,13.41
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2017,11.04,11.53,13.6
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2018,11.13,11.67,13.74
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2019,11.22,11.8,13.99
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2020,11.33,11.96,14.25
Italy,Wholesale and retail trade repair of motor vehicles and motorcycles,2021,11.3,11.88,14.35
Italy,Transportation and storage,2014,11.09,13.56,14.12
Italy,Transportation and storage,2015,11.16,13.6,14.18
Italy,Transportation and storage,2016,11.27,13.48,14.14
Italy,Transportation and storage,2017,11.29,13.4,14.13
Italy,Transportation and storage,2018,11.4,13.45,14.49
Italy,Transportation and storage,2019,11.67,13.33,14.3
Italy,Transportation and storage,2020,12.01,13.68,14.91
Italy,Transportation and storage,2021,11.98,13.54,15.29
Italy,Accommodation and food service activities,2014,9.91,10.05,10.26
Italy,Accommodation and food service activities,2015,9.9,10.06,10.32
Italy,Accommodation and food service activities,2016,9.9,10.06,10.34
Italy,Accommodation and food service activities,2017,9.98,10.13,10.41
Italy,Accommodation and food service activities,2018,10.04,10.21,10.5
Italy,Accommodation and food service activities,2019,10.12,10.31,10.61
Italy,Accommodation and food service activities,2020,10.38,10.53,10.87
Italy,Accommodation and food service activities,2021,10.33,10.52,10.82
Italy,Information and communication,2014,12.86,14.51,16.05
Italy,Information and communication,2015,13.44,14.74,15.8
Italy,Information and communication,2016,12.73,14.48,15.71
Italy,Information and communication,2017,13.47,14.85,16.05
Italy,Information and communication,2018,13.33,14.73,15.99
Italy,Information and communication,2019,13.47,14.72,16.2
Italy,Information and communication,2020,13.07,14.73,16.34
Italy,Information and communication,2021,14.0,15.06,16.78
Italy,Financial and insurance activities,2014,19.84,22.86,21.35
Italy,Financial and insurance activities,2015,19.59,22.77,21.5
Italy,Financial and insurance activities,2016,19.64,22.94,21.74
Italy,Financial and insurance activities,2017,19.74,23.08,22.04
Italy,Financial and insurance activities,2018,19.55,23.06,22.27
Italy,Financial and insurance activities,2019,19.48,23.08,22.49
Italy,Financial and insurance activities,2020,19.91,23.63,23.11
Italy,Financial and insurance activities,2021,19.77,23.74,23.42
Italy,Real estate activities,2014,10.21,11.01,12.19
Italy,Real estate activities,2015,10.36,10.96,11.93
Italy,Real estate activities,2016,10.44,11.13,12.07
Italy,Real estate activities,2017,10.51,11.25,12.26
Italy,Real estate activities,2018,10.52,11.27,12.4
Italy,Real estate activities,2019,10.62,11.32,12.61
Italy,Real estate activities,2020,10.83,11.49,12.96
Italy,Real estate activities,2021,10.87,11.48,13.13
Italy,"Professional, scientific and technical activities",2014,9.97,11.21,13.96
Italy,"Professional, scientific and technical activities",2015,10.09,11.27,13.88
Italy,"Professional, scientific and technical activities",2016,10.0,11.33,13.95
Italy,"Professional, scientific and technical activities",2017,10.11,11.47,14.07
Italy,"Professional, scientific and technical activities",2018,9.99,11.43,14.07
Italy,"Professional, scientific and technical activities",2019,10.02,11.59,14.4
Italy,"Professional, scientific and technical activities",2020,10.53,12.0,14.92
Italy,"Professional, scientific and technical activities",2021,10.46,11.96,15.11
Italy,Administrative and support service activities,2014,9.18,9.94,10.96
Italy,Administrative and support service activities,2015,9.5,10.29,11.29
Italy,Administrative and support service activities,2016,9.51,10.25,11.33
Italy,Administrative and support service activities,2017,9.61,10.35,11.45
Italy,Administrative and support service activities,2018,9.54,10.31,11.52
Italy,Administrative and support service activities,2019,9.59,10.39,11.77
Italy,Administrative and support service activities,2020,9.7,10.47,11.99
Italy,Administrative and support service activities,2021,9.85,10.53,11.97
Italy,Education,2014,9.09,9.94,13.13
Italy,Education,2015,9.19,9.87,12.68
Italy,Education,2016,9.3,9.92,12.36
Italy,Education,2017,9.47,10.19,13.5
Italy,Education,2018,9.56,10.26,12.57
Italy,Education,2019,9.67,10.36,12.56
Italy,Education,2020,9.94,10.66,12.8
Italy,Education,2021,9.87,10.51,12.64
Italy,Human health and social work activities,2014,9.66,9.93,11.18
Italy,Human health and social work activities,2015,9.62,9.92,11.04
Italy,Human health and social work activities,2016,9.72,10.01,11.08
Italy,Human health and social work activities,2017,9.86,10.16,11.22
Italy,Human health and social work activities,2018,9.87,10.16,11.22
Italy,Human health and social work activities,2019,10.0,10.31,11.38
Italy,Human health and social work activities,2020,10.24,10.55,11.76
Italy,Human health and social work activities,2021,10.31,10.57,11.76
Italy,"Arts, entertainment and recreation",2014,9.91,10.22,10.53
Italy,"Arts, entertainment and recreation",2015,9.99,10.34,10.66
Italy,"Arts, entertainment and recreation",2016,9.96,10.38,10.72
Italy,"Arts, entertainment and recreation",2017,9.99,10.42,10.85
Italy,"Arts, entertainment and recreation",2018,10.04,10.5,10.9
Italy,"Arts, entertainment and recreation",2019,10.07,10.62,11.07
Italy,"Arts, entertainment and recreation",2020,10.22,10.73,11.27
Italy,"Arts, entertainment and recreation",2021,10.11,10.65,11.24
Italy,Other service activities,2014,7.94,8.24,9.99
Italy,Other service activities,2015,8.08,8.37,9.99
Italy,Other service activities,2016,8.14,8.48,10.1
Italy,Other service activities,2017,8.19,8.56,10.18
Italy,Other service activities,2018,8.18,8.56,10.15
Italy,Other service activities,2019,8.21,8.61,10.3
Italy,Other service activities,2020,8.37,8.79,10.72
Italy,Other service activities,2021,8.39,8.89,10.8
Nord-ovest,TOTAL,2014,11.03,12.25,15.47
Nord-ovest,TOTAL,2015,11.21,12.38,15.38
Nord-ovest,TOTAL,2016,11.18,12.37,15.43
Nord-ovest,TOTAL,2017,11.17,12.33,15.44
Nord-ovest,TOTAL,2018,11.16,12.34,15.62
Nord-ovest,TOTAL,2019,11.26,12.46,15.59
Nord-ovest,TOTAL,2020,11.6,12.82,16.48
Nord-ovest,TOTAL,2021,11.53,12.75,16.62
Nord-ovest,TOTAL INDUSTRY (b to f),2014,12.18,13.73,18.86
Nord-ovest,TOTAL INDUSTRY (b to f),2015,12.44,13.91,18.78
Nord-ovest,TOTAL INDUSTRY (b to f),2016,12.43,13.96,18.88
Nord-ovest,TOTAL INDUSTRY (b to f),2017,12.48,14.02,18.99
Nord-ovest,TOTAL INDUSTRY (b to f),2018,12.55,14.13,19.17
Nord-ovest,TOTAL INDUSTRY (b to f),2019,12.64,14.25,18.9
Nord-ovest,TOTAL INDUSTRY (b to f),2020,12.82,14.38,19.48
Nord-ovest,TOTAL INDUSTRY (b to f),2021,12.9,14.44,19.6
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2014,12.53,14.26,19.37
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2015,12.75,14.41,19.28
Nord-ovest,TOTAL INDUSTRY EXCLUDING CONSTRUCTION (b to e),2016,12.75,14.46,19.34
