FREQ,Frequency,REF_AREA,Territory of previous residence,DATA_TYPE,Indicator,CHANGE_OF_RESIDENCE,Change of residence,CITIZENSHIP,Citizenship (DESC),SEX,Gender,AGE,Age (DESC),Time (TIME_PERIOD),Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2014,45074,,
A,Annual,IT,Italy,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2015,51048,,
A,Annual,IT,Italy,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2016,60788,,
A,Annual,IT,Italy,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2017,61553,,
A,Annual,IT,Italy,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2018,63570,,
A,Annual,IT,Italy,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2019,68063,,
A,Annual,IT,Italy,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2020,64845,,
A,Annual,IT,Italy,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2021,50697,,
A,Annual,IT,Italy,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2022,55521,,
A,Annual,ITC,Nord-ovest,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2014,13043,,
A,Annual,ITC,Nord-ovest,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2015,14567,,
A,Annual,ITC,Nord-ovest,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2016,16597,,
A,Annual,ITC,Nord-ovest,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2017,16818,,
A,Annual,ITC,Nord-ovest,TDEREG,Deregistrations,FREIGN,Abroad,IT,Italy,9,Total,Y18-39,18-39 years,2018,17253,,
