FREQ,Frequenza,REF_AREA,Territorio di origine,DATA_TYPE,Indicatore,CHANGE_OF_RESIDENCE,Tipo di trasferimento,CITIZENSHIP,Cittadinanza,SEX,Sesso,AGE,Età,Tempo (TIME_PERIOD),Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2014,25413,,
A,Annuale,IT,Italia,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2015,28393,,
A,Annuale,IT,Italia,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2016,33134,,
A,Annuale,IT,Italia,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2017,33188,,
A,Annuale,IT,Italia,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2018,34494,,
A,Annuale,IT,Italia,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2019,36074,,
A,Annuale,IT,Italia,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2020,33938,,
A,Annuale,IT,Italia,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2021,26804,,
A,Annuale,IT,Italia,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2022,29613,,
A,Annuale,ITC,Nord-ovest,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2014,7252,,
A,Annuale,ITC,Nord-ovest,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2015,7978,,
A,Annuale,ITC,Nord-ovest,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2016,8841,,
A,Annuale,ITC,Nord-ovest,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2017,8917,,
A,Annuale,ITC,Nord-ovest,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2018,9174,,
A,Annuale,ITC,Nord-ovest,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2019,8554,,
A,Annuale,ITC,Nord-ovest,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2020,9356,,
A,Annuale,ITC,Nord-ovest,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2021,7438,,
A,Annuale,ITC,Nord-ovest,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2022,8319,,
A,Annuale,ITD,Nord-est,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2014,4769,,
A,Annuale,ITD,Nord-est,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2015,5367,,
A,Annuale,ITD,Nord-est,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2016,6192,,
A,Annuale,ITD,Nord-est,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2017,6230,,
A,Annuale,ITD,Nord-est,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2018,6687,,
A,Annuale,ITD,Nord-est,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2019,6905,,
A,Annuale,ITD,Nord-est,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2020,6681,,
A,Annuale,ITD,Nord-est,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2021,5305,,
A,Annuale,ITD,Nord-est,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2022,6204,,
A,Annuale,ITE,Centro,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2014,4230,,
A,Annuale,ITE,Centro,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2015,4735,,
A,Annuale,ITE,Centro,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2016,5815,,
A,Annuale,ITE,Centro,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2017,5589,,
A,Annuale,ITE,Centro,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2018,5938,,
A,Annuale,ITE,Centro,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2019,5333,,
A,Annuale,ITE,Centro,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2020,5246,,
A,Annuale,ITE,Centro,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2021,4317,,
A,Annuale,ITE,Centro,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2022,4716,,
A,Annuale,ITFG,Mezzogiorno,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2014,9162,,
A,Annuale,ITFG,Mezzogiorno,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2015,10313,,
A,Annuale,ITFG,Mezzogiorno,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2016,12286,,
A,Annuale,ITFG,Mezzogiorno,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2017,12452,,
A,Annuale,ITFG,Mezzogiorno,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2018,12695,,
A,Annuale,ITFG,Mezzogiorno,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2019,15282,,
A,Annuale,ITFG,Mezzogiorno,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2020,12655,,
A,Annuale,ITFG,Mezzogiorno,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2021,9744,,
A,Annuale,ITFG,Mezzogiorno,TDEREG,Cancellati  in anagrafe,FREIGN,Estero,IT,Italia,1,Maschi,Y18-39,18-39 anni,2022,10374,,
