Area,Economic activity,Time period,Hourly wage for temporary employees (€),Hourly wage for permanent employees (€),"Hourly wage no educational degree, primary and lower secondary school certificate (€)",Hourly wage upper and post secondary (€),"Hourly wage tertiary (university, doctoral and specialization courses) (€)",Hourly wage by age (15-29) (€)
Nord-ovest,Mining and quarrying,2014,13.2,21.56,13.39,21.33,30.27,14.83
Nord-ovest,Mining and quarrying,2015,13.84,21.51,13.62,21.16,30.75,16.85
Nord-ovest,Mining and quarrying,2016,12.57,21.98,13.59,22.02,30.45,15.32
Nord-ovest,Mining and quarrying,2017,12.5,22.07,13.68,21.34,29.43,16.33
Nord-ovest,Mining and quarrying,2018,12.36,23.14,13.68,21.86,31.22,14.54
Nord-ovest,Mining and quarrying,2019,12.81,23.72,14.38,24.83,31.1,16.05
Nord-ovest,Mining and quarrying,2020,12.87,22.91,14.07,21.81,31.11,15.8
Nord-ovest,Mining and quarrying,2021,12.64,23.14,14.42,21.53,30.9,16.63
Nord-ovest,Manufacturing,2014,10.42,13.65,12.42,14.05,19.03,10.47
Nord-ovest,Manufacturing,2015,10.69,13.8,12.65,14.23,18.99,10.65
Nord-ovest,Manufacturing,2016,10.53,13.86,12.64,14.27,19.05,10.66
Nord-ovest,Manufacturing,2017,10.49,14.1,12.73,14.36,19.16,10.72
Nord-ovest,Manufacturing,2018,10.52,14.27,12.8,14.48,19.28,10.82
Nord-ovest,Manufacturing,2019,10.57,14.3,12.91,14.56,19.09,10.98
Nord-ovest,Manufacturing,2020,10.6,14.43,13.08,14.72,19.68,11.14
Nord-ovest,Manufacturing,2021,10.62,14.64,13.19,14.82,19.84,11.3
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2014,11.69,20.2,18.13,19.94,24.16,13.08
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2015,11.74,20.13,18.12,19.85,23.36,13.04
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2016,11.6,20.13,17.85,19.94,23.04,13.38
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2017,11.13,20.44,17.93,20.02,23.47,13.89
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2018,11.78,20.72,18.13,20.28,23.62,14.04
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2019,12.1,20.56,18.05,20.16,23.07,14.13
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2020,11.71,20.64,18.06,20.19,23.45,14.24
Nord-ovest,"Electricity, gas, steam and air conditioning supply",2021,11.73,20.96,18.27,20.42,23.68,14.41
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2014,10.9,15.35,14.61,15.39,17.23,11.5
Nord-ovest,"Water supply sewerage, waste management and remediation activities",2015,11.35,15.47,14.76,15.53,17.36,11.61
