"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea specialistica / magistrale a ciclo unico";"laurea specialistica / magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di laureati";"88097";"19827";"64676";"3594"
"Numero di intervistati";"67488";"14968";"49653";"2867"
"Tasso di risposta sul totale dei laureati";"76,6";"75,5";"76,8";"79,8"
"Genere (%)";" ";" ";" ";" "
"Uomini";"39,2";"37,7";"41,6";"4,5"
"Donne";"60,8";"62,3";"58,4";"95,5"
"Età alla laurea (medie, in anni) ";"27,7";"26,7";"27,9";"29,6"
"Voto di laurea (medie, in 110-mi) ";"106,9";"104,5";"107,8";"104,6"
"Durata degli studi (medie, in anni) ";"3,9";"6,9";"2,9";"4,9"
"2b. Formazione post-laurea"
"";"Collettivo selezionato";"laurea specialistica / magistrale a ciclo unico";"laurea specialistica / magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"72,7";"87,7";"69,1";"57,0"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" ";" "
"Collaborazione volontaria";"18,2";"29,6";"15,5";"5,2"
"Tirocinio/praticantato";"26,8";"59,5";"18,3";"1,9"
"Scuola di specializzazione";"13,6";"32,7";"7,9";"13,4"
"Master universitario di primo livello";"5,9";"3,2";"5,7";"22,0"
"Altro tipo di master";"9,2";"8,2";"9,2";"14,9"
"Stage in azienda";"25,2";"16,4";"29,1";"3,1"
"Corso di formazione professionale";"9,0";"7,1";"9,6";"8,0"
"Attività sostenuta da borsa di studio";"6,4";"5,4";"7,0";"0,9"
"3. Condizione occupazionale"
"";"Collettivo selezionato";"laurea specialistica / magistrale a ciclo unico";"laurea specialistica / magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Condizione occupazionale (%) ";" ";" ";" ";" "
"Lavorano";"67,9";"49,6";"71,8";"96,1"
"Non lavorano e non cercano";"13,7";"29,5";"9,7";"2,0"
"Non lavorano ma cercano";"18,4";"20,8";"18,6";"1,8"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"9,3";"21,1";"6,3";"0,2"
