"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di laureati";"107654";"26787";"77316";"3551"
"Numero di intervistati";"80453";"19883";"57862";"2708"
"Tasso di risposta sul totale dei laureati";"74,7";"74,2";"74,8";"76,3"
"Genere (%)";" ";" ";" ";" "
"Uomini";"39,5";"37,8";"41,7";"4,4"
"Donne";"60,5";"62,2";"58,3";"95,6"
"Età alla laurea (medie, in anni) ";"27,5";"26,7";"27,7";"29,1"
"Voto di laurea (medie, in 110-mi) ";"106,8";"104,3";"107,8";"104,6"
"Durata degli studi (medie, in anni) ";"4,0";"6,9";"2,9";"5,1"
"2b. Formazione post-laurea"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"70,9";"85,4";"67,0";"48,2"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" ";" "
"Collaborazione volontaria";"13,5";"20,8";"11,4";"4,3"
"Tirocinio/praticantato";"24,2";"54,1";"15,0";"2,1"
"Scuola di specializzazione";"13,7";"30,1";"8,1";"13,3"
"Master universitario di primo livello";"5,0";"2,9";"5,3";"13,8"
"Altro tipo di master";"7,7";"7,2";"7,8";"11,0"
"Stage in azienda";"23,8";"16,0";"27,4";"2,7"
"Corso di formazione professionale";"7,0";"5,6";"7,4";"7,9"
"Attività sostenuta da borsa di studio";"5,6";"4,2";"6,3";"1,0"
"3. Condizione occupazionale"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Condizione occupazionale (%) ";" ";" ";" ";" "
"Lavorano";"66,1";"48,9";"70,7";"94,0"
"Non lavorano e non cercano";"16,6";"31,4";"12,3";"2,4"
"Non lavorano ma cercano";"17,2";"19,7";"17,0";"3,6"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"11,3";"21,6";"8,3";"0,5"
"Quota che lavora, per genere (%)";" ";" ";" ";" "
"Uomini";"69,3";"52,0";"74,5";"94,0"
"Donne";"64,0";"47,1";"68,0";"94,0"
"Esperienze di lavoro post-laurea (%)";" ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"13,2";"14,5";"13,1";"4,9"
"Non hanno mai lavorato dopo la laurea";"20,7";"36,6";"16,2";"1,1"
"Tasso di occupazione ";"79,6";"71,9";"81,5";"94,4"
"Tasso di disoccupazione ";"12,6";"15,3";"12,3";"2,3"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di occupati";"53189";"9726";"40917";"2546"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"18,4";"7,5";"20,7";"23,5"
"Non proseguono il lavoro iniziato prima della laurea";"18,2";"15,5";"18,5";"23,4"
"Hanno iniziato a lavorare dopo la laurea";"63,2";"76,8";"60,6";"53,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"1,8";"2,7";"1,5";"1,2"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"6,7";"6,9";"6,8";"4,4"
"Tempo dalla laurea al reperimento del primo lavoro";"8,5";"9,8";"8,3";"5,7"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Tipologia dell'attività lavorativa (%)";" ";" ";" ";" "
"Autonomo effettivo";"19,7";"41,1";"15,8";"0,5"
"Tempo indeterminato";"36,3";"21,4";"39,3";"45,6"
"Totale stabile ";"56,0";"62,5";"55,1";"46,2"
"A tutele crescenti ";"1,0";"0,6";"1,2";"0,1"
"Contratti formativi ";"8,8";"6,7";"9,9";"0,3"
"Non standard ";"22,0";"17,0";"21,3";"52,8"
"Parasubordinato ";"4,8";"2,7";"5,6";"0,2"
"Altro autonomo ";"3,9";"5,2";"3,8";"0,2"
"Senza contratto";"3,1";"4,9";"2,8";"0,2"
"Numero di ore settimanali di lavoro (medie) ";"36,0";"37,7";"36,3";"25,4"
"Diffusione del part-time (%)";"22,1";"23,1";"22,5";"12,6"
"6. Caratteristiche dell'impresa"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Settore di attività (%)";" ";" ";" ";" "
"Pubblico";"18,8";"13,2";"16,1";"83,4"
"Privato";"76,6";"85,4";"78,4";"15,6"
"Non profit";"4,4";"1,1";"5,4";"1,0"
"Ramo di attività economica (%)";" ";" ";" ";" "
"Agricoltura";"1,1";"0,5";"1,3";"0,1"
"Metalmeccanica e meccanica di precisione";"5,2";"0,9";"6,5";"-"
"Edilizia ";"5,3";"8,7";"4,8";"-"
"Chimica/Energia ";"4,8";"3,9";"5,3";"-"
"Altra industria manifatturiera ";"5,1";"1,5";"6,3";"0,0"
"Totale industria";"20,4";"15,1";"22,9";"0,0"
"Commercio ";"11,2";"20,7";"9,6";"0,7"
"Credito, assicurazioni";"4,5";"3,4";"5,1";"0,0"
"Trasporti, pubblicità, comunicazioni ";"4,6";"1,4";"5,6";"0,1"
"Consulenze varie ";"15,8";"29,4";"13,5";"0,0"
"Informatica";"3,8";"0,4";"4,8";"-"
"Altri servizi alle imprese";"2,4";"1,3";"2,9";"0,0"
"Pubblica amministrazione, forze armate";"3,7";"3,0";"4,0";"0,9"
"Istruzione e ricerca ";"14,2";"2,1";"12,0";"95,3"
"Sanità";"8,2";"19,3";"6,1";"0,3"
"Altri servizi ";"8,9";"2,3";"10,9";"2,5"
"Totale servizi";"77,3";"83,4";"74,5";"99,9"
"Area geografica di lavoro (%)";" ";" ";" ";" "
"Nord-Ovest";"26,6";"25,5";"27,0";"24,2"
"Nord-Est";"22,4";"19,2";"22,6";"31,2"
"Centro";"23,0";"22,4";"23,2";"21,2"
"Sud";"16,3";"20,1";"15,3";"17,3"
"Isole";"6,7";"8,6";"6,3";"5,5"
"Estero";"5,0";"4,2";"5,5";"0,5"
"7. Retribuzione"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" ";" "
"Uomini";"1389";"1288";"1410";"1298"
"Donne";"1124";"1148";"1107";"1237"
"Totale";"1233";"1203";"1240";"1240"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"44,0";"51,6";"41,4";"72,0"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" ";" "
"Dal punto di vista economico";"10,4";"15,3";"9,3";"14,8"
"Nella posizione lavorativa";"26,0";"28,5";"24,0";"39,9"
"Nelle mansioni svolte";"11,6";"17,9";"11,5";"6,7"
"Nelle competenze professionali";"51,2";"38,3";"54,2";"38,1"
"Sotto altri punti di vista";"0,9";"-";"1,0";"0,5"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" "
"In misura elevata";"48,2";"64,8";"42,3";"79,6"
"In misura ridotta";"39,4";"28,1";"43,4";"18,2"
"Per niente";"12,2";"6,9";"14,1";"2,1"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" ";" "
"Molto adeguata";"50,7";"56,6";"47,6";"77,3"
"Poco adeguata";"37,9";"34,7";"39,7";"20,7"
"Per niente adeguata";"11,3";"8,5";"12,5";"1,9"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" ";" "
"Richiesta per legge";"37,3";"72,8";"25,7";"87,6"
"Non richiesta ma necessaria";"18,2";"9,1";"21,1";"5,4"
"Non richiesta ma utile";"32,6";"12,1";"39,2";"5,1"
"Non richiesta né utile";"11,9";"5,9";"13,9";"1,9"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" ";" "
"Molto efficace/Efficace";"58,6";"81,8";"50,7";"95,0"
"Abbastanza efficace";"26,6";"11,0";"31,8";"3,1"
"Poco/Per nulla efficace";"14,8";"7,2";"17,4";"2,0"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,4";"7,4";"7,4";"8,8"
"Occupati che cercano lavoro (%)";"33,3";"31,3";"35,2";"9,9"
"10. Ricerca del lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di non occupati che cercano lavoro";"13874";"3921";"9856";"97"
"Non occupati che cercano: ultima iniziativa per cercare lavoro (%)";" ";" ";" ";" "
"Ultimi 15 giorni";"64,6";"58,6";"67,1";"44,3"
"15-30 giorni fa";"15,7";"16,7";"15,3";"19,6"
"1-6 mesi fa";"14,8";"18,8";"13,1";"19,6"
"Oltre 6 mesi fa";"4,5";"5,5";"4,0";"15,5"
"Numero di non occupati che non cercano lavoro";"13390";"6236";"7089";"65"
"Non occupati che non cercano: motivo della non ricerca (%)";" ";" ";" ";" "
"Studio";"81,1";"84,9";"78,3";"27,7"
"In attesa di chiamata dal datore di lavoro ";"9,1";"10,3";"7,9";"30,8"
"Motivi personali";"7,3";"3,4";"10,5";"41,5"
"Mancanza di opportunità lavorative";"1,2";"0,8";"1,6";"-"
"Altro motivo";"0,4";"0,0";"0,8";"-"
