"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di laureati";"114080";"34483";"78808";"789"
"Numero di intervistati";"80367";"24357";"55456";"554"
"Tasso di risposta sul totale dei laureati ";"70,4";"70,6";"70,4";"70,2"
"Genere (%)";" ";" ";" ";" "
"Uomini";"40,3";"36,4";"42,3";"4,8"
"Donne";"59,7";"63,6";"57,7";"95,2"
"Età alla laurea (medie, in anni) ";"27,3";"27,0";"27,4";"32,8"
"Voto di laurea (medie, in 110-mi) ";"106,5";"104,1";"107,7";"101,3"
"Durata degli studi (medie, in anni) ";"4,1";"7,1";"2,8";"8,0"
"Indice di ritardo ";"0,27";"0,29";"0,25";"0,89"
"2b. Formazione post-laurea"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"68,7";"82,6";"62,9";"31,9"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" ";" "
"Collaborazione volontaria";"11,9";"16,1";"10,2";"2,5"
"Tirocinio/praticantato";"23,8";"50,4";"12,4";"2,2"
"Scuola di specializzazione";"12,2";"27,6";"5,4";"7,8"
"Master universitario di primo livello";"6,4";"4,5";"7,2";"10,5"
"Altro tipo di master";"7,3";"7,2";"7,4";"4,9"
"Stage in azienda";"25,7";"17,7";"29,5";"2,0"
"Corso di formazione professionale";"5,2";"5,1";"5,3";"7,4"
"Attività sostenuta da borsa di studio";"4,6";"4,7";"4,6";"1,1"
"3. Condizione occupazionale"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Condizione occupazionale (%) ";" ";" ";" ";" "
"Lavorano";"71,5";"56,6";"77,9";"91,9"
"Non lavorano e non cercano";"17,0";"30,3";"11,4";"4,7"
"Non lavorano ma cercano";"11,4";"13,1";"10,8";"3,4"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"11,6";"21,9";"7,1";"0,7"
"Quota che lavora, per genere (%)";" ";" ";" ";" "
"Uomini";"74,3";"57,0";"80,6";"92,3"
"Donne";"69,7";"56,4";"75,9";"91,9"
"Esperienze di lavoro post-laurea (%)";" ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"12,3";"14,9";"11,2";"6,3"
"Non hanno mai lavorato dopo la laurea";"16,2";"28,5";"11,0";"1,8"
"Tasso di occupazione ";"84,4";"79,4";"86,5";"92,4"
"Tasso di disoccupazione ";"8,2";"9,7";"7,6";"2,7"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Numero di occupati";"57489";"13793";"43187";"509"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"12,8";"7,2";"14,5";"28,1"
"Non proseguono il lavoro iniziato prima della laurea";"16,3";"12,9";"17,3";"23,2"
"Hanno iniziato a lavorare dopo la laurea";"70,8";"79,8";"68,2";"48,7"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"2,1";"3,4";"1,7";"1,6"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"5,3";"5,8";"5,2";"3,2"
"Tempo dalla laurea al reperimento del primo lavoro";"7,5";"9,2";"6,9";"4,9"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Professione svolta (%) ";" ";" ";" ";" "
"Imprenditori, legislatori e alta dirigenza";"1,5";"1,6";"1,5";"0,2"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"60,8";"75,8";"55,6";"97,0"
"Professioni tecniche";"19,8";"9,1";"23,5";"1,8"
"Professioni esecutive nel lavoro d'ufficio";"13,6";"10,8";"14,7";"0,4"
"Altre professioni ";"4,2";"2,8";"4,6";"0,6"
"Tipologia dell'attività lavorativa (%)";" ";" ";" ";" "
"Autonomo ";"16,2";"29,9";"12,0";"0,2"
"Tempo indeterminato ";"42,1";"29,3";"46,1";"51,3"
"Contratti formativi ";"9,0";"7,9";"9,4";"-"
"Non standard ";"24,7";"21,8";"25,4";"47,7"
"Assegno di ricerca";"0,4";"0,3";"0,5";"-"
"Parasubordinato ";"2,0";"2,1";"2,0";"-"
"Altro autonomo ";"3,5";"5,1";"3,0";"-"
"Senza contratto";"1,8";"3,2";"1,4";"-"
"Diffusione del part-time (%)";"16,5";"16,6";"16,5";"9,2"
"Numero di ore settimanali di lavoro (medie) ";"36,7";"37,6";"36,5";"24,7"
"6. Caratteristiche dell'impresa"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)"
"Settore di attività (%)";" ";" ";" ";" "
"Pubblico";"19,4";"20,4";"18,4";"84,1"
"Privato";"76,2";"78,3";"76,3";"14,1"
"Non profit";"4,2";"1,2";"5,3";"1,6"
"Ramo di attività economica (%)";" ";" ";" ";" "
"Agricoltura";"1,1";"0,5";"1,3";"-"
"Metalmeccanica e meccanica di precisione";"6,2";"1,1";"8,0";"-"
"Edilizia ";"5,6";"8,2";"4,8";"-"
"Chimica/Energia ";"5,7";"5,5";"5,8";"-"
"Altra industria manifatturiera ";"5,2";"1,9";"6,3";"-"
"Totale industria";"22,7";"16,7";"24,9";"-"
