"1. Popolazione analizzata"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)(1) "
"Numero di laureati";"118610";"36716";"81650";"244"
"Numero di intervistati";"62917";"20829";"41970";"118"
"Tasso di risposta sul totale dei laureati ";"53,0";"56,7";"51,4";"48,4"
"Tasso di risposta sui laureati contattabili ";"65,8";"64,5";"66,5";"53,4"
"Genere (%)";" ";" ";" ";" "
"Uomini";"41,2";"35,6";"43,8";"3,7"
"Donne";"58,8";"64,4";"56,2";"96,3"
"Età alla laurea (medie, in anni) ";"27,2";"27,0";"27,2";"36,0"
"Voto di laurea (medie, in 110-mi) ";"106,9";"104,8";"107,9";"101,3"
"Durata degli studi (medie, in anni) ";"4,1";"7,0";"2,7";"10,2"
"Indice di ritardo ";"0,25";"0,28";"0,23";"1,43"
"2b. Formazione post-laurea"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)(1) "
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"66,0";"79,1";"59,6";"31,4"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" ";" "
"Collaborazione volontaria";"8,6";"11,3";"7,3";"4,2"
"Tirocinio/praticantato";"21,9";"44,7";"10,6";"4,2"
"Scuola di specializzazione";"13,5";"30,7";"5,0";"5,1"
"Master universitario di primo livello";"7,1";"5,8";"7,7";"5,1"
"Altro tipo di master";"7,1";"6,8";"7,3";"6,8"
"Stage in azienda";"21,5";"13,5";"25,5";"3,4"
"Corso di formazione professionale";"4,2";"4,2";"4,2";"8,5"
"Attività sostenuta da borsa di studio";"5,2";"5,1";"5,2";"0,8"
"3. Condizione occupazionale"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)(1) "
"Condizione occupazionale (%) ";" ";" ";" ";" "
"Lavorano";"72,3";"59,4";"78,6";"89,0"
"Non lavorano e non cercano";"18,4";"30,5";"12,4";"5,9"
"Non lavorano ma cercano";"9,3";"10,1";"8,9";"5,1"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"12,2";"21,8";"7,5";"0,8"
"Esperienze di lavoro post-laurea (%)";" ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"12,3";"15,9";"10,5";"8,5"
"Non hanno mai lavorato dopo la laurea";"15,4";"24,7";"10,9";"2,5"
"Tasso di occupazione ";" ";" ";" ";" "
"Uomini";"89,2";"83,9";"91,3";"100,0"
"Donne";"83,3";"80,6";"84,8";"89,5"
"Totale";"85,7";"81,8";"87,7";"89,8"
"Tasso di disoccupazione ";"6,4";"7,2";"6,0";"6,2"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)(1) "
"Numero di occupati ";"45471";"12367";"32999";"105"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"12,2";"7,3";"14,0";"31,4"
"Non proseguono il lavoro iniziato prima della laurea";"18,6";"14,5";"20,1";"29,5"
"Hanno iniziato a lavorare dopo la laurea";"69,1";"78,1";"65,8";"39,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"1,8";"2,5";"1,6";"0,9"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"4,3";"4,6";"4,3";"4,4"
"Tempo dalla laurea al reperimento del primo lavoro";"6,2";"7,1";"5,8";"5,4"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato";"laurea magistrale a ciclo unico";"laurea magistrale biennale";"Scienze della Formazione primaria (corso pre-riforma D.M. n. 249/2010)(1) "
"Professione svolta (%) ";" ";" ";" ";" "
"Imprenditori, legislatori e alta dirigenza";"1,4";"1,4";"1,3";"-"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"60,2";"76,1";"54,7";"94,2"
"Professioni tecniche";"23,4";"10,2";"28,0";"1,0"
"Professioni esecutive nel lavoro d'ufficio";"12,0";"10,1";"12,7";"2,9"
"Altre professioni ";"3,0";"2,2";"3,3";"1,9"
"Tipologia dell'attività lavorativa (%)";" ";" ";" ";" "
"Autonomo ";"16,5";"29,3";"12,1";"-"
