FREQ;Frequency;REF_AREA;Territory;DATA_TYPE;Indicator;SEX;Sex (DESC);EDU_LEV_HIGHEST;Highest level of education attained;CONTARCTUAL_OCCUPATION;Contractual occupation;ECON_ACTIVITY_NACE_2007;Economic activity (NACE Rev. 2);EMPLOYESS_CLASS;Employees class;Time (TIME_PERIOD);Observation;OBS_STATUS;Observation status;NOTE_REF_AREA;Territory (NOTE_REF_AREA);NOTE_DATA_TYPE;Indicator (NOTE_DATA_TYPE);NOTE_SEX;Sex (DESC) (NOTE_SEX);NOTE_EDU_LEV_HIGHEST;Highest level of education attained (NOTE_EDU_LEV_HIGHEST);NOTE_CONTARCTUAL_OCCUPATION;Contractual occupation (NOTE_CONTARCTUAL_OCCUPATION);NOTE_ECON_ACTIVITY_NACE_2007;Economic activity (NACE Rev. 2) (NOTE_ECON_ACTIVITY_NACE_2007);NOTE_EMPLOYESS_CLASS;Employees class (NOTE_EMPLOYESS_CLASS);NOTE_TIME_PERIOD;Time;BASE_PER;Base year;UNIT_MEAS;Measure unit;UNIT_MULT;Multiplication unit
A;Annual;IT;Italy;HOUWAG_ENTEMP_MED_MI;Gross hourly wage per hour paid of employee jobs  in euros (median).;9;Total;13;No educational degree, primary and lower secondary school certificate;99;Total;0010;TOTAL;TOTAL;Total;2014;10.53;;;;;TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1;Median value of the distribution of the hourly wages of the employee jobs obtained as the ratio between the gross wages and the estimated hour paid by the employer for each employee job.;;;;;;;;;;;;;;;;;;
A;Annual;IT;Italy;HOUWAG_ENTEMP_MED_MI;Gross hourly wage per hour paid of employee jobs  in euros (median).;9;Total;13;No educational degree, primary and lower secondary school certificate;99;Total;0010;TOTAL;TOTAL;Total;2015;10.7;;;;;TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1;Median value of the distribution of the hourly wages of the employee jobs obtained as the ratio between the gross wages and the estimated hour paid by the employer for each employee job.;;;;;;;;;;;;;;;;;;
A;Annual;IT;Italy;HOUWAG_ENTEMP_MED_MI;Gross hourly wage per hour paid of employee jobs  in euros (median).;9;Total;13;No educational degree, primary and lower secondary school certificate;99;Total;0010;TOTAL;TOTAL;Total;2016;10.69;;;;;TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1;Median value of the distribution of the hourly wages of the employee jobs obtained as the ratio between the gross wages and the estimated hour paid by the employer for each employee job.;;;;;;;;;;;;;;;;;;
A;Annual;IT;Italy;HOUWAG_ENTEMP_MED_MI;Gross hourly wage per hour paid of employee jobs  in euros (median).;9;Total;13;No educational degree, primary and lower secondary school certificate;99;Total;0010;TOTAL;TOTAL;Total;2017;10.73;;;;;TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1;Median value of the distribution of the hourly wages of the employee jobs obtained as the ratio between the gross wages and the estimated hour paid by the employer for each employee job.;;;;;;;;;;;;;;;;;;
A;Annual;IT;Italy;HOUWAG_ENTEMP_MED_MI;Gross hourly wage per hour paid of employee jobs  in euros (median).;9;Total;13;No educational degree, primary and lower secondary school certificate;99;Total;0010;TOTAL;TOTAL;Total;2018;10.74;;;;;TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1;Median value of the distribution of the hourly wages of the employee jobs obtained as the ratio between the gross wages and the estimated hour paid by the employer for each employee job.;;;;;;;;;;;;;;;;;;
A;Annual;IT;Italy;HOUWAG_ENTEMP_MED_MI;Gross hourly wage per hour paid of employee jobs  in euros (median).;9;Total;13;No educational degree, primary and lower secondary school certificate;99;Total;0010;TOTAL;TOTAL;Total;2019;10.85;;;;;TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1;Median value of the distribution of the hourly wages of the employee jobs obtained as the ratio between the gross wages and the estimated hour paid by the employer for each employee job.;;;;;;;;;;;;;;;;;;
A;Annual;IT;Italy;HOUWAG_ENTEMP_MED_MI;Gross hourly wage per hour paid of employee jobs  in euros (median).;9;Total;13;No educational degree, primary and lower secondary school certificate;99;Total;0010;TOTAL;TOTAL;Total;2020;11.11;;;;;TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1;Median value of the distribution of the hourly wages of the employee jobs obtained as the ratio between the gross wages and the estimated hour paid by the employer for each employee job.;;;;;;;;;;;;;;;;;;
A;Annual;IT;Italy;HOUWAG_ENTEMP_MED_MI;Gross hourly wage per hour paid of employee jobs  in euros (median).;9;Total;13;No educational degree, primary and lower secondary school certificate;99;Total;0010;TOTAL;TOTAL;Total;2021;11.12;;;;;TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1;Median value of the distribution of the hourly wages of the employee jobs obtained as the ratio between the gross wages and the estimated hour paid by the employer for each employee job.;;;;;;;;;;;;;;;;;;
A;Annual;IT;Italy;HOUWAG_ENTEMP_MED_MI;Gross hourly wage per hour paid of employee jobs  in euros (median).;9;Total;13;No educational degree, primary and lower secondary school certificate;99;Total;0011;TOTAL INDUSTRY (b to f);TOTAL;Total;2014;11.38;;;;;TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1;Median value of the distribution of the hourly wages of the employee jobs obtained as the ratio between the gross wages and the estimated hour paid by the employer for each employee job.;;;;;;;;;;;;;;;;;;
A;Annual;IT;Italy;HOUWAG_ENTEMP_MED_MI;Gross hourly wage per hour paid of employee jobs  in euros (median).;9;Total;13;No educational degree, primary and lower secondary school certificate;99;Total;0011;TOTAL INDUSTRY (b to f);TOTAL;Total;2015;11.65;;;;;TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1;Median value of the distribution of the hourly wages of the employee jobs obtained as the ratio between the gross wages and the estimated hour paid by the employer for each employee job.;;;;;;;;;;;;;;;;;;
A;Annual;IT;Italy;HOUWAG_ENTEMP_MED_MI;Gross hourly wage per hour paid of employee jobs  in euros (median).;9;Total;13;No educational degree, primary and lower secondary school certificate;99;Total;0011;TOTAL INDUSTRY (b to f);TOTAL;Total;2016;11.63;;;;;TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1;Median value of the distribution of the hourly wages of the employee jobs obtained as the ratio between the gross wages and the estimated hour paid by the employer for each employee job.;;;;;;;;;;;;;;;;;;
A;Annual;IT;Italy;HOUWAG_ENTEMP_MED_MI;Gross hourly wage per hour paid of employee jobs  in euros (median).;9;Total;13;No educational degree, primary and lower secondary school certificate;99;Total;0011;TOTAL INDUSTRY (b to f);TOTAL;Total;2017;11.68;;;;;TIPO_DATO7__HOUWAG_ENTEMP_MED_MI_N1;Median value of the distribution of the hourly wages of the employee jobs obtained as the ratio between the gross wages and the estimated hour paid by the employer for each employee job.;;;;;;;;;;;;;;;;;;
